park,state,coaster,year_built,manufacturer,max_height_ft,drop_ft,max_speed_mph,coaster_type,track_length_ft,track_length_source_url,track_length_match_type,height_drop_source_url,height_drop_match_type,Kobra Kid,Melanie,DooDad,Mom,ride_time_sec
Cedar Point,OH,Blue Streak,1964,Philadelphia Toboggan Coasters,78.0,72.0,40.0,wood,2558.0,https://rcdb.com/12.htm,exact,https://rcdb.com/12.htm,existing-source,True,,,,105.0
Cedar Point,OH,Cedar Creek Mine Ride,1969,Arrow Development,48.0,30.0,42.0,steel,2540.0,https://rcdb.com/18.htm,direct,https://rcdb.com/18.htm,existing-source,True,,,,162.0
Cedar Point,OH,Corkscrew,1976,Arrow Development,85.0,65.0,48.0,steel,2050.0,https://rcdb.com/13.htm,exact,https://rcdb.com/13.htm,existing-source,True,,,,120.0
Cedar Point,OH,Gemini,1978,Arrow Dynamics,125.0,118.0,60.0,steel,3935.0,https://rcdb.com/14.htm,exact,https://rcdb.com/14.htm,existing-source,True,,,,140.0
Cedar Point,OH,Iron Dragon,1987,Arrow Dynamics,76.0,60.0,40.0,steel,2800.0,https://rcdb.com/17.htm,direct,https://rcdb.com/17.htm,existing-source,,,,,120.0
Cedar Point,OH,Magnum XL-200,1989,Arrow Dynamics,205.0,195.0,72.0,steel,5106.0,https://rcdb.com/11.htm,direct,https://rcdb.com/11.htm,existing-source,,,,,120.0
Cedar Point,OH,Raptor,1994,Bolliger & Mabillard,137.0,119.0,57.0,steel,3790.0,https://rcdb.com/1.htm,exact,https://rcdb.com/1.htm,existing-source,,,,,136.0
Cedar Point,OH,Millennium Force,2000,Intamin,310.0,300.0,93.0,steel,6595.0,https://rcdb.com/594.htm,exact,https://rcdb.com/594.htm,existing-source,,,,,140.0
Cedar Point,OH,Maverick,2007,Intamin,105.0,100.0,70.0,launch,4450.0,https://rcdb.com/3570.htm,exact,https://rcdb.com/3570.htm,existing-source,,,,,150.0
Cedar Point,OH,GateKeeper,2013,Bolliger & Mabillard,170.0,164.0,67.0,steel,4164.0,https://rcdb.com/10891.htm,direct,https://rcdb.com/10891.htm,existing-source,,,,,160.0
Cedar Point,OH,Valravn,2016,Bolliger & Mabillard,223.0,214.0,75.0,steel,3415.0,https://rcdb.com/13383.htm,direct,https://rcdb.com/13383.htm,existing-source,,,,,
Cedar Point,OH,Steel Vengeance,2018,Rocky Mountain Construction,205.0,200.0,74.0,rmc,5740.0,https://rcdb.com/15411.htm,direct,https://rcdb.com/15411.htm,existing-source,,,,,150.0
Cedar Point,OH,Wild Mouse,2023,Zamperla,52.0,,35.0,steel,,,no-length,,no-stats,,,,,
Cedar Point,OH,Top Thrill 2,2024,Zamperla,420.0,400.0,120.0,launch,3422.0,https://rcdb.com/1896.htm,direct,https://rcdb.com/1896.htm,existing-source,,,,,30.0
Cedar Point,OH,Woodstock Express,,Vekoma,42.7,,,steel,1099.1,https://rcdb.com/553.htm,exact,https://rcdb.com/553.htm,existing-source,,,,,66.0
Cedar Point,OH,Wilderness Run,1979,Intamin,19.0,,,steel,443.0,https://rcdb.com/15.htm,exact,https://rcdb.com/15.htm,existing-source,,,,,50.0
Cedar Point,OH,Rougarou,2015 (conversion),Bolliger & Mabillard,145.0,137.0,60.0,steel,3900.0,https://rcdb.com/7.htm,direct,https://rcdb.com/7.htm,existing-source,,,,,160.0
Cedar Point,OH,Siren's Curse,2025,Vekoma,160.0,,,steel,2965.9,https://rcdb.com/22124.htm,direct,https://rcdb.com/22124.htm,existing-source,,,,,
Six Flags Great Adventure,NJ,Batman The Ride,1993,Bolliger & Mabillard,105.0,87.0,50.0,steel,2693.0,https://rcdb.com/32.htm,exact,https://rcdb.com/32.htm,existing-source,False,False,False,,90.0
Six Flags Great Adventure,NJ,The Dark Knight Coaster,2008,Mack Rides,,,35.0,steel,,,none,,none,True,True,True,,
Six Flags Great Adventure,NJ,El Toro,2006,Intamin,181.0,176.0,70.0,wood,4400.0,https://rcdb.com/3183.htm,exact,https://rcdb.com/3183.htm,existing-source,True,True,True,,102.0
Six Flags Great Adventure,NJ,Jersey Devil Coaster,2021,Rocky Mountain Construction,130.0,122.0,58.0,rmc,3000.0,https://rcdb.com/17658.htm,direct,https://rcdb.com/17658.htm,existing-source,True,True,True,,
Six Flags Great Adventure,NJ,The Joker,2016,S&S – Sansei,120.0,54.0,38.0,steel,1019.0,https://rcdb.com/13421.htm,exact,https://rcdb.com/13421.htm,existing-source,True,True,True,,
Six Flags Great Adventure,NJ,Lil' Devil Coaster,2021,Zamperla,13.0,,,steel,262.5,https://rcdb.com/19460.htm,direct,https://rcdb.com/19460.htm,existing-source,True,True,True,,40.0
Six Flags Great Adventure,NJ,Medusa,1999,Bolliger & Mabillard,142.0,132.0,61.0,steel,3985.0,https://rcdb.com/502.htm,exact,https://rcdb.com/502.htm,existing-source,False,True,True,,140.0
Six Flags Great Adventure,NJ,Nitro,2001,Bolliger & Mabillard,230.0,215.0,80.0,steel,5394.0,https://rcdb.com/1106.htm,exact,https://rcdb.com/1106.htm,existing-source,True,True,True,,140.0
